company,count
VK,4968
Яндекс,1210
Telegram,1107
Сбер,450
ivi,332
Тинькофф,235
МТС,216
ВТБ,153
More.tv,126
Ozon,117
Точка,104
Lamoda,88
Лента,80
X5 Group,79
Auto.ru,73
Avito,72
OWOX,72
Wildberries,67
ЦИАН,65
МегаФон,60
Билайн,60
СберМаркет,59
Леруа Мерлен,36
Tele2,35
KION,35
Газпромбанк,34
Райффайзен,33
Магнит,33
МегаМаркет,33
AliExpress,30
Okko,28
ВкусВилл,22
Ростелеком,17
Roistat,17
QIWI,16
Уралсиб,16
EPAM,16
KFC,16
Ostrovok,14
Аэрофлот,14
Ингосстрах,14
ЛитРес,14
М.Видео,14
Эльдорадо,13
Mindbox,13
Модульбанк,12
Альфа-Банк,12
Pikabu,9
Пятёрочка,9
Drom,9
Selectel,8
Рокетбанк,7
Exness,7
Промсвязьбанк,6
Росгосстрах,5
Burger King,4
ДомКлик,4
KazanExpress,4
Dodo Pizza,4
CarPrice,3
Fix Price,3
IQ Option,2
Starbucks,2
Heineken,2
SberCloud,2
Joom,2
Сколково,1
СберЛогистика,1
Ivideon,1
